date,time,inttime,B,A
20240103,0,0,120.430205767011,121.744294908829
20240103,1500000,15,121.598012083179,121.744294908829
20240103,3000000,30,120.009000048476,121.744294908829
20240103,4500000,45,120.716683527889,121.744294908829
20240103,10000000,100,120.144941464501,121.744294908829
20240103,11500000,115,120.172526753476,121.744294908829
20240103,13000000,130,120.160603279216,121.744294908829
20240103,14500000,145,120.383316420453,121.744294908829
20240103,20000000,200,120.128073538156,121.744294908829
20240103,21500000,215,121.615466229586,121.744294908829
20240103,23000000,230,121.219653780541,121.744294908829
20240103,24500000,245,121.166180388505,121.744294908829
20240103,30000000,300,121.935794480579,121.744294908829
20240103,31500000,315,120.776397523904,121.744294908829
20240103,33000000,330,121.692562031063,121.744294908829
20240103,34500000,345,120.539060575856,121.744294908829
20240103,40000000,400,120.529850061486,121.744294908829
20240103,41500000,415,120.536661445132,121.744294908829
20240103,43000000,430,120.66046946772,121.744294908829
20240103,44500000,445,122.170027000798,121.744294908829
20240103,50000000,500,121.290333358539,121.744294908829
20240103,51500000,515,121.925824498261,121.744294908829
20240103,53000000,530,121.64610404844,121.744294908829
20240103,54500000,545,122.291012730418,121.744294908829
20240103,60000000,600,120.482129960289,121.744294908829
20240103,61500000,615,121.071565371441,121.744294908829
20240103,63000000,630,120.454547075989,121.744294908829
20240103,64500000,645,121.186295628051,121.744294908829
20240103,70000000,700,120.911221657383,121.744294908829
20240103,71500000,715,120.827324327981,121.744294908829
20240103,73000000,730,122.425957876226,121.744294908829
20240103,74500000,745,121.387768972634,121.744294908829
20240103,80000000,800,121.588505947931,121.744294908829
20240103,81500000,815,122.011055949113,121.744294908829
20240103,83000000,830,122.387404029692,121.744294908829
20240103,84500000,845,122.536417400433,121.744294908829
20240103,90000000,900,121.693548272798,121.744294908829
20240103,91500000,915,122.200443656152,122.352413781085
20240103,93000000,930,122.501159236399,122.245250930893
20240103,94500000,945,122.555644197385,122.48020483531
20240103,100000000,1000,123.569881691235,123.451584923681
20240103,101500000,1015,123.175410261959,123.077414264463
20240103,103000000,1030,123.808618549759,123.611085299321
20240103,104500000,1045,123.206282537013,123.138644448293
20240103,110000000,1100,122.97347771523,122.844058591577
20240103,111500000,1115,122.696258224717,122.701346071965
20240103,113000000,1130,122.873171980065,122.973585626997
20240103,114500000,1145,123.515513221579,123.778569220878
20240103,120000000,1200,124.249730430067,124.556655965485
20240103,121500000,1215,123.555851633485,123.976059202203
20240103,123000000,1230,123.617992464512,123.982007634817
20240103,124500000,1245,124.529375107607,124.993311636499
20240103,130000000,1300,124.251476804991,124.877136510573
20240103,131500000,1315,122.781456197184,123.57241967101
20240103,133000000,1330,123.058310326937,123.976517834727
20240103,134500000,1345,124.290086891801,125.067116306082
20240103,140000000,1400,125.019408561574,125.60735297417
20240103,141500000,1415,123.391587171995,124.015713539144
20240103,143000000,1430,123.40086764939,124.218856959666
20240103,144500000,1445,124.031201601788,125.036759009074
20240103,150000000,1500,124.65751986056,125.826321300898
20240103,151500000,1515,123.536042491912,124.665944808368
20240103,153000000,1530,124.853551736896,125.858656621636
20240103,154500000,1545,125.638278532608,125.858656621636
20240103,160000000,1600,125.654794160316,125.858656621636
20240103,161500000,1615,125.615809464606,125.858656621636
20240103,163000000,1630,125.531844000548,125.858656621636
20240103,164500000,1645,124.721768408037,125.858656621636
20240103,170000000,1700,125.194404651338,125.858656621636
20240103,171500000,1715,125.004942359301,125.858656621636
20240103,173000000,1730,125.238112310982,125.858656621636
20240103,174500000,1745,125.49674237038,125.858656621636
20240103,180000000,1800,124.733341903705,125.858656621636
20240103,181500000,1815,124.968808722002,125.858656621636
20240103,183000000,1830,124.747056659068,125.858656621636
20240103,184500000,1845,125.053730907346,125.858656621636
20240103,190000000,1900,124.825794789641,125.858656621636
20240103,191500000,1915,125.27261069035,125.858656621636
20240103,193000000,1930,124.543684292462,125.858656621636
20240103,194500000,1945,125.147910621099,125.858656621636
20240103,200000000,2000,125.102319968452,125.858656621636
20240103,201500000,2015,124.882678421705,125.858656621636
20240103,203000000,2030,124.299651382954,125.858656621636
20240103,204500000,2045,124.908510382256,125.858656621636
20240103,210000000,2100,124.338295351422,125.858656621636
20240103,211500000,2115,124.357156028418,125.858656621636
20240103,213000000,2130,124.229766124511,125.858656621636
20240103,214500000,2145,124.108637837316,125.858656621636
20240103,220000000,2200,124.718212052309,125.858656621636
20240103,221500000,2215,124.277409668346,125.858656621636
20240103,223000000,2230,124.134002225478,125.858656621636
20240103,224500000,2245,124.033086830959,125.858656621636
20240103,230000000,2300,124.651289806416,125.858656621636
20240103,231500000,2315,123.944710184507,125.858656621636
20240103,233000000,2330,124.764178958147,125.858656621636
20240103,234500000,2345,123.869862860165,125.858656621636
20240104,0,0,125.212524134296,125.858656621636
20240104,1500000,15,124.633716326769,125.858656621636
20240104,3000000,30,123.380779970999,125.858656621636
20240104,4500000,45,123.514060069903,125.858656621636
20240104,10000000,100,124.302311684567,125.858656621636
20240104,11500000,115,124.312034901793,125.858656621636
20240104,13000000,130,123.936871112886,125.858656621636
20240104,14500000,145,123.614251424189,125.858656621636
20240104,20000000,200,124.689900773673,125.858656621636
20240104,21500000,215,124.288223949357,125.858656621636
20240104,23000000,230,124.608717490084,125.858656621636
20240104,24500000,245,125.283941220122,125.858656621636
20240104,30000000,300,125.096794478691,125.858656621636
20240104,31500000,315,125.139656511697,125.858656621636
20240104,33000000,330,125.502271410174,125.858656621636
20240104,34500000,345,124.343668998781,125.858656621636
20240104,40000000,400,124.029731130323,125.858656621636
20240104,41500000,415,124.178621940876,125.858656621636
